Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Latitude,Longitude
Argentina,South America,1,Colocao,Nicki Nicole,Colocao,1,2:59,-34.603722,-58.381592
Australia,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,-35.282001,149.128998
Austria,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29,48.210033,16.363449
Belgium,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,51.260197,4.402771
Bolivia,South America,1,Rojo,J Balvin,Colores,0,2:30,-17.413977,-66.165321
Brazil,South America,1,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,O Embaixador in Cariri (Ao Vivo),0,3:57,-15.793889,-47.882778
Bulgaria,Europe,1,GOOBA,6ix9ine,GOOBA,1,2:12,42.698334,23.319941
Canada,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,43.65107,-79.347015
Chile,South America,1,CÃ“MO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",CÃ“MO SE SIENTE (Remix),1,3:47,-33.447487,-70.673676
Colombia,South America,1,Rojo,J Balvin,Colores,0,2:30, 4.624335, -74.063644
Costa Rica,North America,1,Rojo,J Balvin,Colores,0,2:30,9.934739,-84.087502
Czech Republic,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,49.195061,16.606836
Denmark,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,55.676098,12.568337
Dominican Republic,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,18.483402,-69.929611
Ecuador,South America,1,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52,-0.180653,-78.467834
El Salvador,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,13.803,-88.9053
Estonia,Europe,1,Croissantid,Nublu,Croissantid,0,2:36,59.436962,24.753574
Finland,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,60.192059,24.945831
France,Europe,1,Angela,Hatik,Chaise pliante,1,3:56,48.864716,2.349014
Germany,Europe,1,Roadrunner,Bonez MC,Roadrunner,0,2:29,52.520008,13.404954
Greece,Europe,1,Millionaire,Snik,TOPBOY,1,2:35,37.98381,23.727539
Guatemala,North America,1,Rojo,J Balvin,Colores,0,2:30,14.628434,-90.522713
Honduras,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,14.081999,-87.202438
Hong Kong,Asia,1,Flossin',Big Loso,Flossin',1,1:59,22.302711,114.177216
Hungary,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,47.497913,19.040236
Iceland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01, 64.128288, -21.827774
India,Asia,1,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),0,4:07,21,78
Indonesia,Asia,1,LATHI (ê¦­ê¦›ê¦¶),"Weird Genius, Sara Fajira",LATHI (ê¦­ê¦›ê¦¶),0,3:08, -8.409518,115.188919
Ireland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,53.35014,-6.266155
Israel,Asia,1,Blinding Lights,The Weeknd,After Hours,0,3:20,31.771959,35.217018
Italy,Europe,1,Good Times,Ghali,DNA,0,2:43,41.902782,12.496366
Japan,Asia,1,Pretender,Official HIGE DANdism,Traveler,0,5:26,35.652832,139.839478
Latvia,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,56.946285,24.105078
Lithuania,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,54.687157,25.279652
Luxembourg,Europe,1,No Time To Die,Billie Eilish,No Time To Die,0,4:02,49.628899,6.214745
Malaysia,Asia,1,Suasana Di Hari Raya,Anuar & Ellina,Suasana Di Hari Raya,0,3:15,3.140853,101.693207
Malta,Europe,1,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,0,4:01,35.917973,14.409943
Mexico,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,19.432608, -99.133209
Netherlands,Europe,1,Gordelweg,Kevin,Gordelweg,1,2:35,52.370216, 4.895168
New Zealand,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,-36.848461,174.763336
Nicaragua,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55,12.136389,-86.251389
Norway,Europe,1,Svag,Victor Leksell,Svag,0,3:11,59.911491,10.757933
Panama,North America,1,Rojo,J Balvin,Colores,0,2:30,8.983333,-79.51667
Paraguay,South America,1,Rojo,J Balvin,Colores,0,2:30,-25.302309, -57.411827
Peru,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29,-12.04318,-77.02824
Philippines,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,14.599512,120.984222
Poland,Europe,1,BUBBLETEA,"Quebonafide, Daria ZawiaÅ‚ow",ROMANTIC PSYCHO,0,4:44,52.237049,21.017532
Portugal,Europe,1,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07,38.736946,-9.142685
Romania,Europe,1,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45,44.439663,26.096306
Singapore,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,1.29027,103.851959
Slovakia,Europe,1,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,48.148598,17.107748
South Africa,Africa,1,Blinding Lights,The Weeknd,After Hours,0,3:20,-28.4793,24.6727
Spain,Europe,1,PAM,"Justin Quiles, Daddy Yankee, El Alfa",PAM,1,3:21,40.416775,-3.70379
Sweden,Europe,1,Blinding Lights,The Weeknd,After Hours,0,3:20,59.334591,18.06324
Switzerland,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,46.204391,6.143158
Taiwan,Asia,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,25.105497,121.597366
Thailand,Asia,1,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48,13.736717,100.523186
Turkey,Europe,1,Spacejump,BEGE,Spacejump,0,1:58,100.523186,28.97953
United Kingdom,Europe,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,51.509865,-0.118092
United States,North America,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01,38,97
Uruguay,South America,1,Favorito,Camilo,Por Primera Vez,0,3:29,-34.901112,-56.164532
Vietnam,Asia,1,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59,21.028511,105.804817
