Country Name,Life Expectancy,Population,Continent
Aruba,76.152,106314,South America
Afghanistan,64.486,38041754,Asia
Angola,60.782,31825295,Africa
Albania,78.458,2854191,Europe
United Arab Emirates,77.814,9770529,Asia
Argentina,76.52,44938712,South America
Armenia,74.945,2957731,Europe
Antigua and Barbuda,76.885,97118,North America
Australia,82.74878049,25364307,Oceania
Austria,81.69268293,8877067,Europe
Azerbaijan,72.864,10023318,Europe
Burundi,61.247,11530580,Africa
Belgium,81.59512195,11484055,Europe
Benin,61.47,11801151,Africa
Burkina Faso,61.174,20321378,Africa
Bangladesh,72.32,163046161,Asia
Bulgaria,74.96341463,6975761,Europe
Bahrain,77.163,1641172,Asia
Bosnia and Herzegovina,77.262,3301000,Europe
Belarus,74.17560976,9466856,Europe
Belize,74.496,390353,North America
Bermuda,81.65170732,63918,North America
Bolivia,71.239,11513100,South America
Brazil,75.672,211049527,South America
Barbados,79.081,287025,North America
Brunei Darussalam,75.722,433285,Asia
Bhutan,71.46,763092,Asia
Botswana,69.275,2303697,Africa
Central African Rep.,52.805,4745185,Africa
Canada,81.94878049,37589262,North America
Switzerland,83.75365854,8574832,Europe
Channel Islands,82.928,172259,Europe
Chile,80.042,18952038,South America
China,76.704,1397715000,Asia
Cote d'Ivoire,57.422,25716544,Africa
Cameroon,58.921,25876380,Africa
Dem. Rep. Congo,60.368,86790567,Africa
Congo,64.29,5380508,Africa
Colombia,77.109,50339443,South America
Comoros,64.118,850886,Africa
Cabo Verde,72.782,549935,Africa
Costa Rica,80.095,5047561,Africa
Cuba,78.726,11333483,South America
Cyprus,80.828,1198575,Europe
Czech Republic,79.02926829,10669709,Europe
Germany,80.89268293,83132799,Europe
Djibouti,66.582,973560,Africa
Denmark,80.95365854,5818553,Europe
Dominican Republic,73.892,10738958,North America
Algeria,76.693,43053054,Africa
Ecuador,76.8,17373662,South America
Egypt,71.825,100388073,Africa
Eritrea,65.941,"3,561,902",Africa
Spain,83.43170732,47076781,Europe
Estonia,78.24390244,1326590,Europe
Ethiopia,66.24,112078730,Africa
Finland,81.73414634,5520314,Europe
Fiji,67.341,889953,Oceania
France,82.72439024,67059887,Europe
Faroe Islands,82.54878049,48678,Europe
