Country Name,Country Code,Population
Aruba,ABW,106314
Afghanistan,AFG,38041754
Angola,AGO,31825295
Albania,ALB,2854191
Andorra,AND,77142
United Arab Emirates,ARE,9770529
Argentina,ARG,44938712
Armenia,ARM,2957731
American Samoa,ASM,55312
Antigua and Barbuda,ATG,97118
Australia,AUS,25364307
Austria,AUT,8877067
Azerbaijan,AZE,10023318
Burundi,BDI,11530580
Belgium,BEL,11484055
Benin,BEN,11801151
Burkina Faso,BFA,20321378
Bangladesh,BGD,163046161
Bulgaria,BGR,6975761
Bahrain,BHR,1641172
Bahamas,BHS,389482
Bosnia and Herzegovina,BIH,3301000
Belarus,BLR,9466856
Belize,BLZ,390353
Bermuda,BMU,63918
Bolivia,BOL,11513100
Brazil,BRA,211049527
Barbados,BRB,287025
Brunei Darussalam,BRN,433285
Bhutan,BTN,763092
Botswana,BWA,2303697
Central African Rep.,CAF,4745185
Canada,CAN,37589262
Switzerland,CHE,8574832
Channel Islands,CHI,172259
Chile,CHL,18952038
China,CHN,1397715000
Cote d'Ivoire,CIV,25716544
Cameroon,CMR,25876380
Dem. Rep. Congo,COD,86790567
Congo,COG,5380508
Colombia,COL,50339443
Comoros,COM,850886
Cabo Verde,CPV,549935
Costa Rica,CRI,5047561
Cuba,CUB,11333483
Curacao,CUW,157538
Cayman Islands,CYM,64948
Cyprus,CYP,1198575
Czech Republic,CZE,10669709
Germany,DEU,83132799
Djibouti,DJI,973560
Dominica,DMA,71808
Denmark,DNK,5818553
Dominican Republic,DOM,10738958
Algeria,DZA,43053054
Ecuador,ECU,17373662
Egypt,EGY,100388073
Eritrea,ERI,"3,561,902"
Spain,ESP,47076781
Estonia,EST,1326590
Ethiopia,ETH,112078730
European Union,EUU,447512041
Finland,FIN,5520314
Fiji,FJI,889953
France,FRA,67059887
Faroe Islands,FRO,48678
Federated States of Micronesia,FSM,113815
Gabon,GAB,2172579
United Kingdom,GBR,66834405
Georgia,GEO,3720382
Ghana,GHA,30417856
Gibraltar,GIB,33701
Guinea,GIN,12771246
Gambia,GMB,2347706
Guinea-Bissau,GNB,1920922
Eq. Guinea,GNQ,1355986
Greece,GRC,10716322
Grenada,GRD,112003
Greenland,GRL,56225
Guatemala,GTM,16604026
Guam,GUM,167294
Guyana,GUY,782766
Hong Kong ,HKG,7507400
Honduras,HND,9746117
Croatia,HRV,4067500
Haiti,HTI,11263077
